"Year","Carrier Name","On Time"
"2013","United Air Lines Inc.",79.2689967141033
"2014","United Air Lines Inc.",75.9890016371918
"2015","United Air Lines Inc.",78.1504800057395
"2016","United Air Lines Inc.",81.7053683308658
"2017","United Air Lines Inc.",79.8961253291589
"2003","US Airways Inc.",79.3072460375844
"2004","US Airways Inc.",79.2278987137996
"2005","US Airways Inc.",76.1887084154705
"2006","US Airways Inc.",76.8512649452108
"2007","US Airways Inc.",68.7080154991173
"2008","US Airways Inc.",80.0621267270591
"2009","US Airways Inc.",80.8681660372982
"2010","US Airways Inc.",83.027928569674
"2011","US Airways Inc.",79.794924215376
"2012","US Airways Inc.",85.8777577962861
"2013","US Airways Inc.",81.4684763551445
"2014","US Airways Inc.",80.6885075904646
"2015","US Airways Inc.",79.3468032106283
"2012","Virgin America",83.4532899784443
"2013","Virgin America",82.0716573608948
"2014","Virgin America",81.4762649973918
"2015","Virgin America",79.9153514369255
"2016","Virgin America",76.214175142142
"2017","Virgin America",64.2281633400476
