"","year","carrier_name","Category","Value"
"245","2004","ATA Airlines","Weather Delay",0.143725259158249
"246","2004","Atlantic Coast Airlines","Cancelled / Diverted",3.57883235533703
"247","2004","Atlantic Coast Airlines","Late Arrival",10.5816175717401
"248","2004","Atlantic Coast Airlines","Security Delay",0.0150187063133198
"249","2004","Atlantic Coast Airlines","Weather Delay",0.588602562789314
"250","2004","Atlantic Coast Airlines","National Avaiation System Delay",7.29174044319573
"251","2004","Atlantic Coast Airlines","On Time",73.7209222919746
"252","2004","Atlantic Coast Airlines","Carrier Delay",4.22320753520543
"253","2004","Atlantic Southeast Airlines","Late Arrival",2.17949802948422
"254","2004","Atlantic Southeast Airlines","Carrier Delay",6.39909488956864
"255","2004","Atlantic Southeast Airlines","On Time",76.3247639504986
"256","2004","Atlantic Southeast Airlines","Security Delay",0.0528004991734233
"257","2004","Atlantic Southeast Airlines","National Avaiation System Delay",8.47090485941024
"258","2004","Atlantic Southeast Airlines","Weather Delay",3.69807179921179
"259","2004","Atlantic Southeast Airlines","Cancelled / Diverted",2.87490900484471
"260","2004","Comair Inc.","Late Arrival",0.444317067813771
"261","2004","Comair Inc.","On Time",77.2546110042695
"262","2004","Comair Inc.","National Avaiation System Delay",5.66248734417939
"263","2004","Comair Inc.","Carrier Delay",7.83869654422439
"264","2004","Comair Inc.","Security Delay",0.0307623491345829
"265","2004","Comair Inc.","Weather Delay",4.93277013815603
"266","2004","Comair Inc.","Cancelled / Diverted",3.83638769398895
"267","2004","Continental Air Lines Inc.","Weather Delay",0.651991621259551
"268","2004","Continental Air Lines Inc.","Late Arrival",3.80032673078786
"269","2004","Continental Air Lines Inc.","Security Delay",0.128006307440976
"270","2004","Continental Air Lines Inc.","National Avaiation System Delay",12.3616990000969
"271","2004","Continental Air Lines Inc.","On Time",78.8777565822222
"272","2004","Continental Air Lines Inc.","Carrier Delay",3.29892860364348
"273","2004","Continental Air Lines Inc.","Cancelled / Diverted",0.881304517771415
"274","2004","Delta Air Lines Inc.","Late Arrival",5.18730640249666
"275","2004","Delta Air Lines Inc.","Weather Delay",0.430986943711662
"276","2004","Delta Air Lines Inc.","Security Delay",0.0225656522763431
"277","2004","Delta Air Lines Inc.","Cancelled / Diverted",1.73259767493943
"278","2004","Delta Air Lines Inc.","Carrier Delay",4.95964446409303
"279","2004","Delta Air Lines Inc.","National Avaiation System Delay",11.49571867756
"280","2004","Delta Air Lines Inc.","On Time",76.17118309343
"281","2004","Endeavor Air Inc.","On Time",0
"282","2004","Endeavor Air Inc.","Late Arrival",0
"283","2004","Endeavor Air Inc.","Cancelled / Diverted",0
"284","2004","Endeavor Air Inc.","Carrier Delay",0
"285","2004","Endeavor Air Inc.","National Avaiation System Delay",0
"286","2004","Endeavor Air Inc.","Weather Delay",0
"287","2004","Endeavor Air Inc.","Security Delay",0
"288","2004","Envoy Air","On Time",0
"289","2004","Envoy Air","Late Arrival",0
"290","2004","Envoy Air","Cancelled / Diverted",0
"291","2004","Envoy Air","Carrier Delay",0
"292","2004","Envoy Air","National Avaiation System Delay",0
"293","2004","Envoy Air","Security Delay",0
"294","2004","Envoy Air","Weather Delay",0
"295","2004","ExpressJet Airlines Inc.","Cancelled / Diverted",1.94015278635203
"296","2004","ExpressJet Airlines Inc.","Late Arrival",5.53853245690136
"297","2004","ExpressJet Airlines Inc.","Weather Delay",0.657386532065281
"298","2004","ExpressJet Airlines Inc.","National Avaiation System Delay",11.7263661161318
"299","2004","ExpressJet Airlines Inc.","On Time",76.94171654841
"300","2004","ExpressJet Airlines Inc.","Carrier Delay",3.12591140132117
"301","2004","ExpressJet Airlines Inc.","Security Delay",0.0700483814382803
"302","2004","Frontier Airlines Inc.","On Time",0
"303","2004","Frontier Airlines Inc.","Late Arrival",0
"304","2004","Frontier Airlines Inc.","Cancelled / Diverted",0
"305","2004","Frontier Airlines Inc.","Carrier Delay",0
"306","2004","Frontier Airlines Inc.","Security Delay",0
"307","2004","Frontier Airlines Inc.","National Avaiation System Delay",0
"308","2004","Frontier Airlines Inc.","Weather Delay",0
"309","2004","Hawaiian Airlines Inc.","Security Delay",0.0898142562971899
"310","2004","Hawaiian Airlines Inc.","National Avaiation System Delay",0.0741518813569898
"311","2004","Hawaiian Airlines Inc.","Weather Delay",0.0945566487093621
"312","2004","Hawaiian Airlines Inc.","Late Arrival",1.70929966512054
"313","2004","Hawaiian Airlines Inc.","Carrier Delay",3.7875699398881
"314","2004","Hawaiian Airlines Inc.","Cancelled / Diverted",0.378559394304969
"315","2004","Hawaiian Airlines Inc.","On Time",93.8660898142563
"316","2004","Independence Air","Carrier Delay",2.60207860669959
"317","2004","Independence Air","Security Delay",0.0574202589083144
"318","2004","Independence Air","Weather Delay",0.154777792606433
"319","2004","Independence Air","National Avaiation System Delay",5.27834312024556
"320","2004","Independence Air","Late Arrival",11.644217936741
"321","2004","Independence Air","On Time",77.8826905111437
"322","2004","Independence Air","Cancelled / Diverted",2.38055518483918
"323","2004","JetBlue Airways","Security Delay",0.359507536122181
"324","2004","JetBlue Airways","On Time",81.7786138878376
"325","2004","JetBlue Airways","Late Arrival",5.6271233608656
"326","2004","JetBlue Airways","National Avaiation System Delay",7.04391433087695
"327","2004","JetBlue Airways","Weather Delay",0.253345058663758
"328","2004","JetBlue Airways","Cancelled / Diverted",0.775875503706837
"329","2004","JetBlue Airways","Carrier Delay",4.16178729656923
"330","2004","Mesa Airlines Inc.","Cancelled / Diverted",0
"331","2004","Mesa Airlines Inc.","Carrier Delay",0
"332","2004","Mesa Airlines Inc.","On Time",0
"333","2004","Mesa Airlines Inc.","Late Arrival",0
"334","2004","Mesa Airlines Inc.","National Avaiation System Delay",0
"335","2004","Mesa Airlines Inc.","Security Delay",0
"336","2004","Mesa Airlines Inc.","Weather Delay",0
"337","2004","Northwest Airlines Inc.","On Time",79.0895076938847
"338","2004","Northwest Airlines Inc.","Weather Delay",1.00318755100673
"339","2004","Northwest Airlines Inc.","National Avaiation System Delay",9.53046999128697
"340","2004","Northwest Airlines Inc.","Late Arrival",2.72857520215421
"341","2004","Northwest Airlines Inc.","Carrier Delay",6.20600805068541
"342","2004","Northwest Airlines Inc.","Security Delay",0.060220467349779
"343","2004","Northwest Airlines Inc.","Cancelled / Diverted",1.38206061275099
"344","2004","Pinnacle Airlines Inc.","Late Arrival",0
"345","2004","Pinnacle Airlines Inc.","Cancelled / Diverted",0
"346","2004","Pinnacle Airlines Inc.","Carrier Delay",0
"347","2004","Pinnacle Airlines Inc.","National Avaiation System Delay",0
"348","2004","Pinnacle Airlines Inc.","Security Delay",0
"349","2004","Pinnacle Airlines Inc.","Weather Delay",0
"350","2004","Pinnacle Airlines Inc.","On Time",0
"351","2004","SkyWest Airlines Inc.","Weather Delay",1.14856467176469
"352","2004","SkyWest Airlines Inc.","Cancelled / Diverted",2.28331981149989
"353","2004","SkyWest Airlines Inc.","Late Arrival",3.02105090538744
"354","2004","SkyWest Airlines Inc.","On Time",82.6994614282509
"355","2004","SkyWest Airlines Inc.","Security Delay",0.104650359910929
"356","2004","SkyWest Airlines Inc.","Carrier Delay",7.71888108266731
"357","2004","SkyWest Airlines Inc.","National Avaiation System Delay",3.02407174051889
"358","2004","Southwest Airlines Co.","Late Arrival",10.6725901753224
"359","2004","Southwest Airlines Co.","Carrier Delay",4.15650179118824
"360","2004","Southwest Airlines Co.","On Time",80.06076308254
"361","2004","Southwest Airlines Co.","Security Delay",0.0908548430741394
"362","2004","Southwest Airlines Co.","Cancelled / Diverted",1.19991437837489
"363","2004","Southwest Airlines Co.","National Avaiation System Delay",3.41766794156728
"364","2004","Southwest Airlines Co.","Weather Delay",0.401728991401489
"365","2004","Spirit Air Lines","Late Arrival",0
"366","2004","Spirit Air Lines","On Time",0
"367","2004","Spirit Air Lines","Cancelled / Diverted",0
"368","2004","Spirit Air Lines","Carrier Delay",0
"369","2004","Spirit Air Lines","National Avaiation System Delay",0
"370","2004","Spirit Air Lines","Security Delay",0
"371","2004","Spirit Air Lines","Weather Delay",0
"372","2004","United Air Lines Inc.","Weather Delay",0.322252848085324
"373","2004","United Air Lines Inc.","National Avaiation System Delay",9.16641238404353
"374","2004","United Air Lines Inc.","Late Arrival",5.17730095787784
"375","2004","United Air Lines Inc.","Security Delay",0.00903542924586011
"376","2004","United Air Lines Inc.","Carrier Delay",4.22208228681641
"377","2004","United Air Lines Inc.","Cancelled / Diverted",1.35801314113405
"378","2004","United Air Lines Inc.","On Time",79.7449497312041
"379","2004","US Airways Inc.","National Avaiation System Delay",7.64580788199629
"380","2004","US Airways Inc.","Weather Delay",0.407990588661147
"381","2004","US Airways Inc.","Security Delay",0
"382","2004","US Airways Inc.","Carrier Delay",4.72353001412177
"383","2004","US Airways Inc.","Late Arrival",6.19853352670396
"384","2004","US Airways Inc.","On Time",79.2278987137996
"385","2004","US Airways Inc.","Cancelled / Diverted",1.7962988100086
"386","2004","Virgin America","On Time",0
"387","2004","Virgin America","National Avaiation System Delay",0
"388","2004","Virgin America","Cancelled / Diverted",0
"389","2004","Virgin America","Late Arrival",0
"390","2004","Virgin America","Carrier Delay",0
"391","2004","Virgin America","Weather Delay",0
"392","2004","Virgin America","Security Delay",0
"393","2005","AirTran Airways Corporation","Cancelled / Diverted",1.49647887323944
"394","2005","AirTran Airways Corporation","On Time",71.3381305273501
"395","2005","AirTran Airways Corporation","National Avaiation System Delay",10.6324465689486
"396","2005","AirTran Airways Corporation","Weather Delay",0.195048927284638
"397","2005","AirTran Airways Corporation","Carrier Delay",5.12539919751065
"398","2005","AirTran Airways Corporation","Late Arrival",11.2123935473305
"399","2005","AirTran Airways Corporation","Security Delay",0
"400","2005","Alaska Airlines Inc.","National Avaiation System Delay",6.06982922201138
"401","2005","Alaska Airlines Inc.","Late Arrival",10.9220113851992
"402","2005","Alaska Airlines Inc.","Security Delay",0.238583175205566
"403","2005","Alaska Airlines Inc.","Cancelled / Diverted",1.94686907020873
"404","2005","Alaska Airlines Inc.","Carrier Delay",10.815641998735
"405","2005","Alaska Airlines Inc.","On Time",69.7381404174573
"406","2005","Alaska Airlines Inc.","Weather Delay",0.268931056293485
"407","2005","Aloha Airlines Inc.","On Time",0
"408","2005","Aloha Airlines Inc.","Late Arrival",0
"409","2005","Aloha Airlines Inc.","Cancelled / Diverted",0
"410","2005","Aloha Airlines Inc.","National Avaiation System Delay",0
"411","2005","Aloha Airlines Inc.","Security Delay",0
"412","2005","Aloha Airlines Inc.","Weather Delay",0
"413","2005","Aloha Airlines Inc.","Carrier Delay",0
"414","2005","American Airlines Inc.","Weather Delay",1.39724363799403
"415","2005","American Airlines Inc.","National Avaiation System Delay",8.77436313131988
"416","2005","American Airlines Inc.","Late Arrival",6.09691954350631
"417","2005","American Airlines Inc.","Cancelled / Diverted",1.70272087937539
"418","2005","American Airlines Inc.","Carrier Delay",5.13410801269061
"419","2005","American Airlines Inc.","On Time",76.8608709723874
"420","2005","American Airlines Inc.","Security Delay",0.0337663995819285
"421","2005","American Eagle Airlines Inc.","Security Delay",0.0116985444484542
"422","2005","American Eagle Airlines Inc.","National Avaiation System Delay",7.26173425658607
"423","2005","American Eagle Airlines Inc.","Weather Delay",0.789181853723084
"424","2005","American Eagle Airlines Inc.","On Time",76.2140247203176
"425","2005","American Eagle Airlines Inc.","Cancelled / Diverted",3.3263036809816
"426","2005","American Eagle Airlines Inc.","Late Arrival",7.23892171899435
"427","2005","American Eagle Airlines Inc.","Carrier Delay",5.1581107903284
"428","2005","America West Airlines Inc.","On Time",81.2193901532956
"429","2005","America West Airlines Inc.","Security Delay",0.109621789914735
"430","2005","America West Airlines Inc.","National Avaiation System Delay",6.7294557070148
"431","2005","America West Airlines Inc.","Weather Delay",0.172678705907922
"432","2005","America West Airlines Inc.","Carrier Delay",5.75026408495196
"433","2005","America West Airlines Inc.","Cancelled / Diverted",1.3813285621143
"434","2005","America West Airlines Inc.","Late Arrival",4.63722561699848
"435","2005","ATA Airlines","Carrier Delay",2.9500328731098
"436","2005","ATA Airlines","Security Delay",0.113695617674398
"437","2005","ATA Airlines","National Avaiation System Delay",9.86420004987644
"438","2005","ATA Airlines","Weather Delay",0.0825908544741436
"439","2005","ATA Airlines","Late Arrival",4.47099231449364
"440","2005","ATA Airlines","Cancelled / Diverted",1.18569906368315
"441","2005","ATA Airlines","On Time",81.3326078578068
"442","2005","Atlantic Coast Airlines","On Time",0
"443","2005","Atlantic Coast Airlines","Security Delay",0
"444","2005","Atlantic Coast Airlines","Late Arrival",0
