"Carrier Name","Year","Category","Value"
"American Airlines Inc.","2014","Carrier Delay",6.37236398938436
"American Airlines Inc.","2014","Late Arrival",7.91079176562265
"American Airlines Inc.","2014","Security Delay",0.0181440476699703
"American Airlines Inc.","2014","National Avaiation System Delay",7.0782373716052
"American Airlines Inc.","2015","Weather Delay",0.731604277780227
"American Airlines Inc.","2015","Cancelled / Diverted",1.79742253272799
"American Airlines Inc.","2015","Carrier Delay",5.84535058623881
"American Airlines Inc.","2015","Late Arrival",5.47545400449597
"American Airlines Inc.","2015","Security Delay",0.0528413849341032
"American Airlines Inc.","2015","National Avaiation System Delay",5.83991107242033
"American Airlines Inc.","2016","Weather Delay",0.632916126294978
"American Airlines Inc.","2016","Cancelled / Diverted",1.43051786014998
"American Airlines Inc.","2016","Carrier Delay",5.85415213221738
"American Airlines Inc.","2016","Late Arrival",5.87894617132535
"American Airlines Inc.","2016","Security Delay",0.0529746504624415
"American Airlines Inc.","2016","National Avaiation System Delay",6.76681202938456
"American Airlines Inc.","2017","Weather Delay",0.323453709315176
"American Airlines Inc.","2017","Cancelled / Diverted",1.49085594096467
"American Airlines Inc.","2017","Carrier Delay",4.94194146376243
"American Airlines Inc.","2017","Late Arrival",4.42287975473245
"American Airlines Inc.","2017","Security Delay",0.0427934832982781
"American Airlines Inc.","2017","National Avaiation System Delay",6.69961142205269
"American Eagle Airlines Inc.","2003","Weather Delay",0.620300261354695
"American Eagle Airlines Inc.","2003","Late Arrival",6.90830048277471
"American Eagle Airlines Inc.","2003","National Avaiation System Delay",7.15140384242803
"American Eagle Airlines Inc.","2003","Security Delay",0.020777895956317
"American Eagle Airlines Inc.","2003","Cancelled / Diverted",3.02119701241138
"American Eagle Airlines Inc.","2003","Carrier Delay",4.77590713011984
"American Eagle Airlines Inc.","2004","Weather Delay",0.838319312423409
"American Eagle Airlines Inc.","2004","Late Arrival",8.42049274666313
"American Eagle Airlines Inc.","2004","National Avaiation System Delay",8.18439083562415
"American Eagle Airlines Inc.","2004","Security Delay",0.0163531282085252
"American Eagle Airlines Inc.","2004","Cancelled / Diverted",3.85664723611433
"American Eagle Airlines Inc.","2004","Carrier Delay",5.52282813897261
"American Eagle Airlines Inc.","2005","Weather Delay",0.789181853723084
"American Eagle Airlines Inc.","2005","Late Arrival",7.23892171899435
"American Eagle Airlines Inc.","2005","National Avaiation System Delay",7.26173425658607
"American Eagle Airlines Inc.","2005","Security Delay",0.0116985444484542
"American Eagle Airlines Inc.","2005","Cancelled / Diverted",3.3263036809816
"American Eagle Airlines Inc.","2005","Carrier Delay",5.1581107903284
"American Eagle Airlines Inc.","2006","Weather Delay",0.879757420630881
"American Eagle Airlines Inc.","2006","Late Arrival",10.0603685228545
"American Eagle Airlines Inc.","2006","National Avaiation System Delay",7.68857891828217
"American Eagle Airlines Inc.","2006","Security Delay",0.018458864763456
"American Eagle Airlines Inc.","2006","Cancelled / Diverted",3.86974447724728
"American Eagle Airlines Inc.","2006","Carrier Delay",6.00708250316313
"American Eagle Airlines Inc.","2007","Weather Delay",1.23288510140723
"American Eagle Airlines Inc.","2007","Late Arrival",10.7276565512291
"American Eagle Airlines Inc.","2007","National Avaiation System Delay",8.1927366446251
"American Eagle Airlines Inc.","2007","Security Delay",0.00740248735416119
"American Eagle Airlines Inc.","2007","Cancelled / Diverted",4.49385192065037
"American Eagle Airlines Inc.","2007","Carrier Delay",6.21646123731253
"American Eagle Airlines Inc.","2008","Weather Delay",0.976478164555027
"American Eagle Airlines Inc.","2008","Late Arrival",8.83704271306092
